"Tech","Value","Scenario"
"Utility",208134.124177562,"Utility"
"H_GW",18441.0915601093,"Individual"
"H_RW",32877.4521623194,"Individual"
"Utility",156815.580455134,"Individual"
"H_RW",41139.805141574,"32 Houses"
"Utility",135567.432309544,"32 Houses"
"H_GW",31426.8867264439,"32 Houses"
"H_RW",41057.3636030005,"320 Houses"
"Utility",135375.736208161,"320 Houses"
"H_GW",31701.0243664009,"320 Houses"
"H_RW",19293.6983427371,"3200 Houses"
"C_VRF",65156.2952319441,"3200 Houses"
"Utility",88280.5160796399,"3200 Houses"
"H_GW",35403.6145232412,"3200 Houses"
