"Tech","Value","Scenario"
"H_GW",18377.9366918145,"Individual"
"H_RW",35856.0925400969,"Individual"
"Utility",154598.748035225,"Individual"
"H_RW",41139.805141574,"32 Houses"
"Utility",135567.432309518,"32 Houses"
"H_GW",31426.8867264703,"32 Houses"
"H_RW",41139.805141574,"320 Houses"
"Utility",135265.814156708,"320 Houses"
"H_GW",31728.5048792801,"320 Houses"
"H_RW",39136.878009489,"3200 Houses"
"C_VRF",23139.6399545774,"3200 Houses"
"Utility",101916.579249231,"3200 Houses"
"H_GW",43941.0269642646,"3200 Houses"
