"Tech","Value","Scenario"
"H_GW",18434.9113150637,"Individual"
"H_RW",36550.5692696575,"Individual"
"Utility",153184.913343079,"Individual"
"H_RW",41139.805141574,"32 Houses"
"Utility",135567.432309544,"32 Houses"
"H_GW",31426.8867264439,"32 Houses"
"H_RW",41139.805141574,"320 Houses"
"Utility",134360.959698285,"320 Houses"
"H_GW",32633.359337703,"320 Houses"
"H_RW",34619.5962225352,"3200 Houses"
"C_VRF",45714.828190342,"3200 Houses"
"Utility",84339.1192346541,"3200 Houses"
"H_GW",43460.5805300309,"3200 Houses"
