"timeslice","hour"
"WDA1",2016-05-01
"WDA2",2016-05-01 01:00:00
"WDA3",2016-05-01 02:00:00
"WDA4",2016-05-01 03:00:00
"WDA5",2016-05-01 04:00:00
"WDA6",2016-05-01 05:00:00
"WDA7",2016-05-01 06:00:00
"WDA8",2016-05-01 07:00:00
"WDA9",2016-05-01 08:00:00
"WDA10",2016-05-01 09:00:00
"WDA11",2016-05-01 10:00:00
"WDA12",2016-05-01 11:00:00
"WDA13",2016-05-01 12:00:00
"WDA14",2016-05-01 13:00:00
"WDA15",2016-05-01 14:00:00
"WDA16",2016-05-01 15:00:00
"WDA17",2016-05-01 16:00:00
"WDA18",2016-05-01 17:00:00
"WDA19",2016-05-01 18:00:00
"WDA20",2016-05-01 19:00:00
"WDA21",2016-05-01 20:00:00
"WDA22",2016-05-01 21:00:00
"WDA23",2016-05-01 22:00:00
"WDA24",2016-05-01 23:00:00
"WDA25",2016-05-02
"WDA26",2016-05-02 01:00:00
"WDA27",2016-05-02 02:00:00
"WDA28",2016-05-02 03:00:00
"WDA29",2016-05-02 04:00:00
"WDA30",2016-05-02 05:00:00
"WDA31",2016-05-02 06:00:00
"WDA32",2016-05-02 07:00:00
"WDA33",2016-05-02 08:00:00
"WDA34",2016-05-02 09:00:00
"WDA35",2016-05-02 10:00:00
"WDA36",2016-05-02 11:00:00
"WDA37",2016-05-02 12:00:00
"WDA38",2016-05-02 13:00:00
"WDA39",2016-05-02 14:00:00
"WDA40",2016-05-02 15:00:00
"WDA41",2016-05-02 16:00:00
"WDA42",2016-05-02 17:00:00
"WDA43",2016-05-02 18:00:00
"WDA44",2016-05-02 19:00:00
"WDA45",2016-05-02 20:00:00
"WDA46",2016-05-02 21:00:00
"WDA47",2016-05-02 22:00:00
"WDA48",2016-05-02 23:00:00
"WDA49",2016-05-03
"WDA50",2016-05-03 01:00:00
"WDA51",2016-05-03 02:00:00
"WDA52",2016-05-03 03:00:00
"WDA53",2016-05-03 04:00:00
"WDA54",2016-05-03 05:00:00
"WDA55",2016-05-03 06:00:00
"WDA56",2016-05-03 07:00:00
"WDA57",2016-05-03 08:00:00
"WDA58",2016-05-03 09:00:00
"WDA59",2016-05-03 10:00:00
"WDA60",2016-05-03 11:00:00
"WDA61",2016-05-03 12:00:00
"WDA62",2016-05-03 13:00:00
"WDA63",2016-05-03 14:00:00
"WDA64",2016-05-03 15:00:00
"WDA65",2016-05-03 16:00:00
"WDA66",2016-05-03 17:00:00
"WDA67",2016-05-03 18:00:00
"WDA68",2016-05-03 19:00:00
"WDA69",2016-05-03 20:00:00
"WDA70",2016-05-03 21:00:00
"WDA71",2016-05-03 22:00:00
"WDA72",2016-05-03 23:00:00
"WDA73",2016-05-04
"WDA74",2016-05-04 01:00:00
"WDA75",2016-05-04 02:00:00
"WDA76",2016-05-04 03:00:00
"WDA77",2016-05-04 04:00:00
"WDA78",2016-05-04 05:00:00
"WDA79",2016-05-04 06:00:00
"WDA80",2016-05-04 07:00:00
"WDA81",2016-05-04 08:00:00
"WDA82",2016-05-04 09:00:00
"WDA83",2016-05-04 10:00:00
"WDA84",2016-05-04 11:00:00
"WDA85",2016-05-04 12:00:00
"WDA86",2016-05-04 13:00:00
"WDA87",2016-05-04 14:00:00
"WDA88",2016-05-04 15:00:00
"WDA89",2016-05-04 16:00:00
"WDA90",2016-05-04 17:00:00
"WDA91",2016-05-04 18:00:00
"WDA92",2016-05-04 19:00:00
"WDA93",2016-05-04 20:00:00
"WDA94",2016-05-04 21:00:00
"WDA95",2016-05-04 22:00:00
"WDA96",2016-05-04 23:00:00
"WDA97",2016-05-05
"WDA98",2016-05-05 01:00:00
"WDA99",2016-05-05 02:00:00
"WDA100",2016-05-05 03:00:00
"WDA101",2016-05-05 04:00:00
"WDA102",2016-05-05 05:00:00
"WDA103",2016-05-05 06:00:00
"WDA104",2016-05-05 07:00:00
"WDA105",2016-05-05 08:00:00
"WDA106",2016-05-05 09:00:00
"WDA107",2016-05-05 10:00:00
"WDA108",2016-05-05 11:00:00
"WDA109",2016-05-05 12:00:00
"WDA110",2016-05-05 13:00:00
"WDA111",2016-05-05 14:00:00
"WDA112",2016-05-05 15:00:00
"WDA113",2016-05-05 16:00:00
"WDA114",2016-05-05 17:00:00
"WDA115",2016-05-05 18:00:00
"WDA116",2016-05-05 19:00:00
"WDA117",2016-05-05 20:00:00
"WDA118",2016-05-05 21:00:00
"WDA119",2016-05-05 22:00:00
"WDA120",2016-05-05 23:00:00
"WEA1",2016-05-06
"WEA2",2016-05-06 01:00:00
"WEA3",2016-05-06 02:00:00
"WEA4",2016-05-06 03:00:00
"WEA5",2016-05-06 04:00:00
"WEA6",2016-05-06 05:00:00
"WEA7",2016-05-06 06:00:00
"WEA8",2016-05-06 07:00:00
"WEA9",2016-05-06 08:00:00
"WEA10",2016-05-06 09:00:00
"WEA11",2016-05-06 10:00:00
"WEA12",2016-05-06 11:00:00
"WEA13",2016-05-06 12:00:00
"WEA14",2016-05-06 13:00:00
"WEA15",2016-05-06 14:00:00
"WEA16",2016-05-06 15:00:00
"WEA17",2016-05-06 16:00:00
"WEA18",2016-05-06 17:00:00
