"Technology","Capacity","Scenario"
"H_GW",4905.12074035794,"Individual"
"H_RW",11042.96136,"Individual"
"H_RWTANK",38908.9226521342,"Individual"
"H_RW",12868.718016,"32 Houses"
"H_GW",884.19127122552,"32 Houses"
"H_RWTANK",32877.6226843053,"32 Houses"
"H_RW",128687.18016,"320 Houses"
"H_GW",8879.0562957068,"320 Houses"
"H_RWTANK",328776.226843053,"320 Houses"
"H_RW",1166629.717638,"3200 Houses"
"H_GW",88419.127122552,"3200 Houses"
"C_VRF",18000,"3200 Houses"
"H_RWTANK",1964017.16326882,"3200 Houses"
